raw,standard
counties,county
County,county
CountyName,county
customersAffected,per_outage_customers_affected
customersOutNow,per_outage_customers_affected
CustomersAffected,per_outage_customers_affected
Affected Customers,per_outage_customers_affected
Percentage Affected,per_outage_customers_affected
cust_a,per_outage_customers_affected
# Out,per_outage_customers_affected
% Out,per_outage_customers_affected
customersServed,customers_served
CustomersServed,customers_served
# Served,customers_served
cust_s,customers_served
timestamp,timestamp
