raw,standard,score
person,person,100.0
northampton,northampton,100.0
halifax,halifax,100.0
catawba,catawba,100.0
randolph,randolph,100.0
rockingham,rockingham,100.0
davidson,davidson,100.0
brunswick,brunswick,100.0
yadkin,yadkin,100.0
mecklenburg,mecklenburg,100.0
stokes,stokes,100.0
pittsylvania,pitt,90.0
guilford,guilford,100.0
iredell,iredell,100.0
forsyth,forsyth,100.0
rowan,rowan,100.0
warren,warren,100.0
cabarrus,cabarrus,100.0
gaston,gaston,100.0
montgomery,montgomery,100.0
davie,davie,100.0
caldwell,caldwell,100.0
lincoln,lincoln,100.0
granville,granville,100.0
wilkes,wilkes,100.0
alexander,alexander,100.0
franklin,franklin,100.0
