raw,standard,score
clinton,clinton,100.0
rockland,rockland,100.0
new marlboro,new york  (manhattan),85.5
delaware,delaware,100.0
schoharie,schoharie,100.0
warren,warren,100.0
ulster,ulster,100.0
dutchess,dutchess,100.0
essex,essex,100.0
putnam,putnam,100.0
monroe,monroe,100.0
suffolk,suffolk,100.0
orange,orange,100.0
sullivan,sullivan,100.0
columbia,columbia,100.0
otsego,otsego,100.0
ware,delaware,90.0
new salem,new york  (manhattan),85.5
mount washington,washington,90.0
greene,greene,100.0
albany,albany,100.0
franklin,franklin,100.0
new braintree,new york  (manhattan),85.5
hamilton,hamilton,100.0
lawrence,st. lawrence,90.0
