raw,standard,score
laf,lafayette,90.0
walton,walton,100.0
bay,bay,100.0
levy,levy,100.0
leon,leon,100.0
nassau,nassau,100.0
calhoun,calhoun,100.0
ham,hamilton,90.0
gilchrist,gilchrist,100.0
liberty,liberty,100.0
marion,marion,100.0
baker,baker,100.0
lafayette,lafayette,100.0
santa rosa,santa rosa,100.0
taylor,taylor,100.0
alachua,alachua,100.0
holmes,holmes,100.0
col,collier,90.0
madison,madison,100.0
dixie,dixie,100.0
washington,washington,100.0
okaloosa,okaloosa,100.0
gulf,gulf,100.0
jackson,jackson,100.0
escambia,escambia,100.0
jefferson,jefferson,100.0
suw,suwannee,90.0
