raw,standard,score
will,will,100.0
lee,lee,100.0
marshall,marshall,100.0
kane,kane,100.0
pope,pope,100.0
massac,massac,100.0
hardin,hardin,100.0
kankakee,kankakee,100.0
la salle,lasalle,93.33333333333333
white,white,100.0
iroquois,iroquois,100.0
saline,saline,100.0
grundy,grundy,100.0
rock island,rock island,100.0
franklin,franklin,100.0
livingston,livingston,100.0
dekalb,dekalb,100.0
hamilton,hamilton,100.0
stephenson,stephenson,100.0
carroll,carroll,100.0
ford,ford,100.0
gallatin,gallatin,100.0
mchenry,mchenry,100.0
lake,lake,100.0
bureau,bureau,100.0
jo daviess,jo daviess,100.0
ogle,ogle,100.0
boone,boone,100.0
henry,henry,100.0
winnebago,winnebago,100.0
kendall,kendall,100.0
cook,cook,100.0
du page,dupage,92.3076923076923
johnson,johnson,100.0
williamson,williamson,100.0
woodford,woodford,100.0
whiteside,whiteside,100.0
