raw,standard,score
leake,leake,100.0
lawrence,lawrence,100.0
scott,scott,100.0
forrest,forrest,100.0
covington,covington,100.0
hinds,hinds,100.0
jasper,jasper,100.0
neshoba,neshoba,100.0
hancock,hancock,100.0
marshall,marshall,100.0
walthall,walthall,100.0
stone,stone,100.0
copiah,copiah,100.0
harrison,harrison,100.0
jones,jones,100.0
jackson,jackson,100.0
greene,greene,100.0
franklin,franklin,100.0
washington,washington,100.0
choctaw,choctaw,100.0
carroll,carroll,100.0
lafayette,lafayette,100.0
pike,pike,100.0
simpson,simpson,100.0
winston,winston,100.0
clarke,clarke,100.0
noxubee,noxubee,100.0
union,union,100.0
pearl river,pearl river,100.0
jefferson davis,jefferson davis,100.0
newton,newton,100.0
kemper,kemper,100.0
attala,attala,100.0
amite,amite,100.0
lauderdale,lauderdale,100.0
lake,leake,88.88888888888889
lee,lee,100.0
oktibbeha,oktibbeha,100.0
marion,marion,100.0
benton,benton,100.0
smith,smith,100.0
lamar,lamar,100.0
wayne,wayne,100.0
george,george,100.0
pontotoc,pontotoc,100.0
lincoln,lincoln,100.0
rankin,rankin,100.0
perry,perry,100.0
