raw,standard,score
rutherford,rutherford,100.0
union,union,100.0
fentress,fentress,100.0
cheatham,cheatham,100.0
madison,madison,100.0
franklin,franklin,100.0
dekalb,dekalb,100.0
overton,overton,100.0
blount,blount,100.0
robertson,robertson,100.0
montgomery,montgomery,100.0
roane,roane,100.0
moore,moore,100.0
scott,scott,100.0
polk,polk,100.0
wilson,wilson,100.0
anderson,anderson,100.0
smith,smith,100.0
white,white,100.0
putnam,putnam,100.0
cannon,cannon,100.0
marshall,marshall,100.0
rhea,rhea,100.0
hamilton,hamilton,100.0
bradley,bradley,100.0
mcminn,mcminn,100.0
warren,warren,100.0
bedford,bedford,100.0
williamson,williamson,100.0
pickett,pickett,100.0
sevier,sevier,100.0
sumner,sumner,100.0
wayne,wayne,100.0
coffee,coffee,100.0
bledsoe,bledsoe,100.0
lewis,lewis,100.0
lincoln,lincoln,100.0
maury,maury,100.0
loudon,loudon,100.0
meigs,meigs,100.0
grainger,grainger,100.0
jefferson,jefferson,100.0
trousdale,trousdale,100.0
giles,giles,100.0
morgan,morgan,100.0
dickson,dickson,100.0
cumberland,cumberland,100.0
davidson,davidson,100.0
stewart,stewart,100.0
lawrence,lawrence,100.0
knox,knox,100.0
hickman,hickman,100.0
