,county,customers_served,timestamp
0,big horn,413.0,01-28-2025 20:33:58
1,custer,1122.0,01-28-2025 20:18:56
2,dawson,27.0,05-14-2025 14:34:01
3,fallon,4.0,04-30-2025 01:49:01
7,granite,197.0,03-24-2025 20:34:06
8,lake,211.0,02-17-2025 15:04:13
15,lincoln,6749.0,2025-01-16 17:45:04.845057
9,mineral,777.0,2025-04-17 02:00:07.681553
10,missoula,20000.0,01-16-2025 17:19:07
4,powder river,1667.0,01-23-2025 00:48:58
11,powell,679.0,02-13-2025 15:04:33
5,prairie,323.0,02-15-2025 20:48:56
12,ravalli,812.0,05-22-2025 16:34:35
13,roosevelt,9.0,07-29-2025 13:18:28
6,rosebud,1667.0,01-27-2025 14:33:59
16,sanders,3192.0,01-17-2025 22:54:21
14,sheridan,4.0,04-01-2025 15:18:28
