,county,customers_served,timestamp
9,cheatham,19445,01-02-2025 18:53:35
22,cocke,43,01-16-2024 00:38:45
19,crockett,423,01-12-2024 16:03:10
14,dickson,29905,01-01-2025 10:54:15
20,dyer,4601,01-04-2025 16:18:05
5,fayette,21968,01-01-2025 16:47:49
0,grainger,10257,01-14-2024 16:53:46
23,greene,43,01-12-2024 14:38:45
1,hamblen,16687,01-01-2025 18:02:34
6,hardeman,97,02-16-2025 05:02:53
2,hawkins,24556,05-02-2024 16:02:38
7,haywood,876,01-06-2025 21:02:50
15,hickman,4544,01-01-2025 10:39:16
16,houston,206,01-02-2025 01:54:16
17,humphreys,21,01-21-2025 04:53:59
3,jefferson,28735,02-03-2025 05:53:43
21,lauderdale,4852,01-01-2025 05:17:59
8,marshall,291,01-08-2025 03:47:45
10,montgomery,26468,01-17-2024 20:24:04
11,robertson,27195,01-01-2025 09:23:35
4,sevier,1841,01-12-2024 21:32:37
12,stewart,8020,01-01-2025 03:38:35
13,sumner,37762,01-01-2025 00:08:35
18,williamson,85,01-28-2025 15:09:18
