raw,standard,score
coffee,coffee,100.0
elmore,elmore,100.0
calhoun,calhoun,100.0
chilton,chilton,100.0
bibb,bibb,100.0
cherokee,cherokee,100.0
greene,greene,100.0
macon,macon,100.0
russell,russell,100.0
lawrence,lawrence,100.0
franklin,franklin,100.0
hale,hale,100.0
sumter,sumter,100.0
clay,clay,100.0
montgomery,montgomery,100.0
fayette,fayette,100.0
lowndes,lowndes,100.0
marshall,marshall,100.0
monroe,monroe,100.0
randolph,randolph,100.0
autauga,autauga,100.0
butler,butler,100.0
clarke,clarke,100.0
coosa,coosa,100.0
dallas,dallas,100.0
st. clair,st. clair,100.0
lee,lee,100.0
jefferson,jefferson,100.0
bullock,bullock,100.0
houston,houston,100.0
conecuh,conecuh,100.0
washington,washington,100.0
winston,winston,100.0
marengo,marengo,100.0
dekalb,dekalb,100.0
covington,covington,100.0
etowah,etowah,100.0
geneva,geneva,100.0
crenshaw,crenshaw,100.0
baldwin,baldwin,100.0
pickens,pickens,100.0
chambers,chambers,100.0
escambia,escambia,100.0
tallapoosa,tallapoosa,100.0
dale,dale,100.0
henry,henry,100.0
perry,perry,100.0
stone,limestone,90.0
tuscaloosa,tuscaloosa,100.0
mobile,mobile,100.0
talladega,talladega,100.0
cullman,cullman,100.0
wilcox,wilcox,100.0
pike,pike,100.0
walker,walker,100.0
shelby,shelby,100.0
jackson,jackson,100.0
lamar,lamar,100.0
barbour,barbour,100.0
choctaw,choctaw,100.0
cleburne,cleburne,100.0
blount,blount,100.0
marion,marion,100.0
