raw,standard,score
independence,independence,100.0
pike,pike,100.0
lincoln,lincoln,100.0
lonoke,lonoke,100.0
washington,washington,100.0
clark,clark,100.0
grant,grant,100.0
monroe,monroe,100.0
little river,little river,100.0
white,white,100.0
sevier,sevier,100.0
conway,conway,100.0
prairie,prairie,100.0
cleburne,cleburne,100.0
yell,yell,100.0
howard,howard,100.0
miller,miller,100.0
saline,saline,100.0
benton,benton,100.0
searcy,searcy,100.0
desha,desha,100.0
marion,marion,100.0
montgomery,montgomery,100.0
cleveland,cleveland,100.0
franklin,franklin,100.0
pulaski,pulaski,100.0
hot spring,hot spring,100.0
dallas,dallas,100.0
polk,polk,100.0
faulkner,faulkner,100.0
clay,clay,100.0
newton,newton,100.0
jefferson,jefferson,100.0
stone,stone,100.0
perry,perry,100.0
van buren,van buren,100.0
garland,garland,100.0
nevada,nevada,100.0
bradley,bradley,100.0
drew,drew,100.0
madison,madison,100.0
hempstead,hempstead,100.0
arkansas,arkansas,100.0
lafayette,lafayette,100.0
pope,pope,100.0
crawford,crawford,100.0
columbia,columbia,100.0
