raw,standard,score
okeechobee,okeechobee,100.0
marion,marion,100.0
col,collier,90.0
hardee,hardee,100.0
fl - hernando,hernando,90.0
walton,walton,100.0
suw,suwannee,90.0
fl - polk,polk,90.0
liberty,liberty,100.0
escambia,escambia,100.0
gilchrist,gilchrist,100.0
washington,washington,100.0
ham,hamilton,90.0
miami-dade,miami-dade,100.0
okaloosa,okaloosa,100.0
nassau,nassau,100.0
polk,polk,100.0
clay,clay,100.0
indian river,indian river,100.0
madison,madison,100.0
columbia,columbia,100.0
fl - pasco,pasco,90.0
palm beach,palm beach,100.0
fl - taylor,taylor,90.0
manatee,manatee,100.0
baker,baker,100.0
bay,bay,100.0
monroe,monroe,100.0
flagler,flagler,100.0
fl - pinellas,pinellas,90.0
putnam,putnam,100.0
alachua,alachua,100.0
desoto,desoto,100.0
citrus,citrus,100.0
pasco,pasco,100.0
st lucie,st. lucie,94.11764705882352
leon,leon,100.0
orange,orange,100.0
glades,glades,100.0
brevard,brevard,100.0
suwannee,suwannee,100.0
fl - hamilton,hamilton,90.0
fl - flagler,flagler,90.0
lee,lee,100.0
fl - jefferson,jefferson,90.0
fl - seminole,seminole,90.0
sarasota,sarasota,100.0
fl - gilchrist,gilchrist,90.0
fl - osceola,osceola,90.0
lake,lake,100.0
lafayette,lafayette,100.0
st johns,st. johns,94.11764705882352
fl - suwannee,suwannee,90.0
fl - sumter,sumter,90.0
fl - wakulla,wakulla,90.0
fl - brevard,brevard,90.0
jefferson,jefferson,100.0
broward,broward,100.0
fl - citrus,citrus,90.0
fl - highlands,highlands,90.0
volusia,volusia,100.0
levy,levy,100.0
osceola,osceola,100.0
collier,collier,100.0
martin,martin,100.0
fl - madison,madison,90.0
santa rosa,santa rosa,100.0
bradford,bradford,100.0
holmes,holmes,100.0
jackson,jackson,100.0
calhoun,calhoun,100.0
sumter,sumter,100.0
duval,duval,100.0
hillsborough,hillsborough,100.0
dixie,dixie,100.0
fl - alachua,alachua,90.0
fl - marion,marion,90.0
charlotte,charlotte,100.0
union,union,100.0
laf,lafayette,90.0
fl - lafayette,lafayette,90.0
seminole,seminole,100.0
fl - volusia,volusia,90.0
fl - columbia,columbia,90.0
fl - franklin,franklin,90.0
hernando,hernando,100.0
de soto,desoto,92.3076923076923
highlands,highlands,100.0
taylor,taylor,100.0
gulf,gulf,100.0
hendry,hendry,100.0
fl - orange,orange,90.0
