raw,standard,score
page,dupage,90.0
cmed|kane|,kane,90.0
hancock,hancock,100.0
marion,marion,100.0
cmed|whiteside|,whiteside,90.0
iroquois,iroquois,100.0
mchenry,mchenry,100.0
sac,massac,90.0
logan,logan,100.0
clark,clark,100.0
cmed|will|,will,90.0
scott,scott,100.0
woodford,woodford,100.0
edwards,edwards,100.0
winnebago,winnebago,100.0
saline,saline,100.0
lake,lake,100.0
moultrie,moultrie,100.0
cmed|dekalb|,dekalb,90.0
hamilton,hamilton,100.0
kankakee,kankakee,100.0
mercer,mercer,100.0
cmed|rock island|,rock island,90.0
mclean,mclean,100.0
monroe,monroe,100.0
st. clair,st. clair,100.0
cmed|ogle|,ogle,90.0
du page,dupage,92.3076923076923
hardin,hardin,100.0
cmed|stephenson|,stephenson,90.0
marshall,marshall,100.0
bureau,bureau,100.0
stephenson,stephenson,100.0
green,greene,90.9090909090909
edgar,edgar,100.0
cmed|carroll|,carroll,90.0
cmed|cook|,cook,90.0
lawrence,lawrence,100.0
putnam,putnam,100.0
carroll,carroll,100.0
dekalb,dekalb,100.0
richland,richland,100.0
williamson,williamson,100.0
cumberland,cumberland,100.0
calhoun,calhoun,100.0
cmed|boone|,boone,90.0
whiteside,whiteside,100.0
la salle,lasalle,93.33333333333333
lasalle,lasalle,100.0
cmed|bureau|,bureau,90.0
cmed|kankakee|,kankakee,90.0
greene,greene,100.0
union-sd,union,90.0
de witt,dewitt,92.3076923076923
ford,ford,100.0
cass,cass,100.0
clinton,clinton,100.0
cmed|marshall|,marshall,90.0
washington,washington,100.0
jefferson,jefferson,100.0
douglas,douglas,100.0
pope,pope,100.0
henry,henry,100.0
kendall,kendall,100.0
franklin,franklin,100.0
johnson,johnson,100.0
cmed|livingston|,livingston,90.0
rock,rock island,90.0
boone,boone,100.0
montgomery,montgomery,100.0
gallatin,gallatin,100.0
stark,stark,100.0
ogle,ogle,100.0
champaign,champaign,100.0
cmed|iroquois|,iroquois,90.0
cook,cook,100.0
macon,macon,100.0
perry,perry,100.0
cmed|kendall|,kendall,90.0
cmed|lee|,lee,90.0
jasper,jasper,100.0
pike,pike,100.0
tazewell,tazewell,100.0
lee,lee,100.0
cmed|grundy|,grundy,90.0
shelby,shelby,100.0
cmed|mchenry|,mchenry,90.0
brown,brown,100.0
jo daviess,jo daviess,100.0
effingham,effingham,100.0
livingston,livingston,100.0
cmed|henry|,henry,90.0
mcdonough,mcdonough,100.0
macoupin,macoupin,100.0
cmed|woodford|,woodford,90.0
jersey,jersey,100.0
knox,knox,100.0
vermilion,vermilion,100.0
wayne,wayne,100.0
bond,bond,100.0
fayette,fayette,100.0
wabash,wabash,100.0
grundy,grundy,100.0
piatt,piatt,100.0
will,will,100.0
white,white,100.0
crawford,crawford,100.0
kane,kane,100.0
cmed|ford|,ford,90.0
clay,clay,100.0
adams,adams,100.0
cmed|lake|,lake,90.0
rock island,rock island,100.0
warren,warren,100.0
cmed|jo daviess|,jo daviess,90.0
cmed|winnebago|,winnebago,90.0
madison,madison,100.0
massac,massac,100.0
schuyler,schuyler,100.0
