raw,standard,score
iberia,iberia,100.0
webster,webster,100.0
calcasieu,calcasieu,100.0
jefferson davis,jefferson davis,100.0
st. john the baptist,st. john the baptist,100.0
st. james,st. james,100.0
vermilion,vermilion,100.0
desoto,desoto,100.0
vernon,vernon,100.0
jefferson,jefferson,100.0
ar,st. charles,90.0
richland,richland,100.0
e. baton rouge,west baton rouge,86.66666666666667
ouachita,ouachita,100.0
st. helena,st. helena,100.0
st. landry,st. landry,100.0
acadia,acadia,100.0
caldwell,caldwell,100.0
iberville,iberville,100.0
caddo,caddo,100.0
madison,madison,100.0
cameron,cameron,100.0
lincoln,lincoln,100.0
lafayette,lafayette,100.0
rapides,rapides,100.0
beauregard,beauregard,100.0
natchitoches,natchitoches,100.0
st. charles,st. charles,100.0
concordia,concordia,100.0
pointe coupee,pointe coupee,100.0
claiborne,claiborne,100.0
allen,allen,100.0
livingston,livingston,100.0
assumption,assumption,100.0
morehouse,morehouse,100.0
carroll,east carroll,90.0
st. martin,st. martin,100.0
winn,winn,100.0
red river,red river,100.0
grant parish,grant,90.0
evangeline,evangeline,100.0
franklin,franklin,100.0
tangipahoa,tangipahoa,100.0
avoyelles,avoyelles,100.0
la,claiborne,90.0
orleans,orleans,100.0
st. bernard,st. bernard,100.0
washington,washington,100.0
w. baton rouge,west baton rouge,86.66666666666667
tensas,tensas,100.0
st. tammany,st. tammany,100.0
sabine,sabine,100.0
jackson,jackson,100.0
lafourche,lafourche,100.0
bossier,bossier,100.0
catahoula,catahoula,100.0
la salle,lasalle,93.33333333333333
bienville,bienville,100.0
terrebonne,terrebonne,100.0
union,union,100.0
plaquemines,plaquemines,100.0
grant,grant,100.0
ascension,ascension,100.0
