raw,standard,score
panola,panola,100.0
union,union,100.0
boun|jones|,jones,90.0
boun|perry|,perry,90.0
hancock,hancock,100.0
washington,washington,100.0
lafayette,lafayette,100.0
claiborne,claiborne,100.0
franklin,franklin,100.0
neshoba,neshoba,100.0
boun|jefferson davis|,jefferson,90.0
kemper,kemper,100.0
montgomery,montgomery,100.0
humphreys,humphreys,100.0
pontotoc,pontotoc,100.0
webster,webster,100.0
madison,madison,100.0
boun|leake|,leake,90.0
wayne,wayne,100.0
jefferson,jefferson,100.0
marshall,marshall,100.0
sunflower,sunflower,100.0
lawrence,lawrence,100.0
lauderdale,lauderdale,100.0
attala,attala,100.0
desoto,desoto,100.0
boun|harrison|,harrison,90.0
benton,benton,100.0
amite,amite,100.0
boun|scott|,scott,90.0
marion,marion,100.0
boun|pearl river|,pearl river,90.0
perry,perry,100.0
boun|jasper|,jasper,90.0
clarke,clarke,100.0
rankin,rankin,100.0
tallahatchie,tallahatchie,100.0
boun|covington|,covington,90.0
boun|jackson|,jackson,90.0
hinds,hinds,100.0
lamar,lamar,100.0
boun|marion|,marion,90.0
yazoo,yazoo,100.0
jackson,jackson,100.0
leflore,leflore,100.0
tunica,tunica,100.0
warren,warren,100.0
copiah,copiah,100.0
carroll,carroll,100.0
greene,greene,100.0
jasper,jasper,100.0
stone,stone,100.0
forrest,forrest,100.0
quitman,quitman,100.0
covington,covington,100.0
choctaw,choctaw,100.0
holmes,holmes,100.0
coahoma,coahoma,100.0
tate,tate,100.0
boun|stone|,stone,90.0
boun|clarke|,clarke,90.0
boun|lauderdale|,lauderdale,90.0
boun|lamar|,lamar,90.0
pearl river,pearl river,100.0
lee,lee,100.0
alcorn,alcorn,100.0
wilkinson,wilkinson,100.0
harrison,harrison,100.0
cmed|lee|,lee,90.0
jefferson davis,jefferson davis,100.0
lake,leake,88.88888888888889
pike,pike,100.0
winston,winston,100.0
scott,scott,100.0
walthall,walthall,100.0
boun|newton|,newton,90.0
issaquena,issaquena,100.0
adams,adams,100.0
boun|wayne|,wayne,90.0
oktibbeha,oktibbeha,100.0
cmed|marshall|,marshall,90.0
boun|neshoba|,neshoba,90.0
boun|hancock|,hancock,90.0
noxubee,noxubee,100.0
jones,jones,100.0
grenada,grenada,100.0
sharkey,sharkey,100.0
yalobusha,yalobusha,100.0
lincoln,lincoln,100.0
calhoun,calhoun,100.0
boun|forrest|,forrest,90.0
cmed|carroll|,carroll,90.0
bolivar,bolivar,100.0
leake,leake,100.0
smith,smith,100.0
george,george,100.0
simpson,simpson,100.0
newton,newton,100.0
cmed|newton|,newton,90.0
tippah,tippah,100.0
boun|greene|,greene,90.0
boun|george|,george,90.0
boun|smith|,smith,90.0
