raw,standard,score
granite,granite,100.0
mineral,mineral,100.0
lewis,lewis and clark,90.0
big horn,big horn,100.0
lincoln,lincoln,100.0
powell,powell,100.0
powder river,powder river,100.0
roosevelt,roosevelt,100.0
dawson,dawson,100.0
boun|lewis |,lewis and clark,90.0
rosebud,rosebud,100.0
boun|mineral |,mineral,100.0
boun|lincoln |,lincoln,100.0
sanders,sanders,100.0
custer,custer,100.0
missoula,missoula,100.0
sheridan,sheridan,100.0
fallon,fallon,100.0
ravalli,ravalli,100.0
lake,lake,100.0
prairie,prairie,100.0
