raw,standard,score
nc - warren,warren,90.0
nc - sampson,sampson,90.0
sampson,sampson,100.0
davidson,davidson,100.0
nc - buncombe,buncombe,90.0
nc - vance,vance,90.0
chatham,chatham,100.0
stanly,stanly,100.0
nc - wilson,wilson,90.0
nc - cleveland,cleveland,90.0
granville,granville,100.0
martin,martin,100.0
caldwell,caldwell,100.0
nc - yancey,yancey,90.0
warren,warren,100.0
nc - alamance,alamance,90.0
nc - duplin,duplin,90.0
camden,camden,100.0
nc - moore,moore,90.0
nc - greene,greene,90.0
wayne,wayne,100.0
nc - transylvania,transylvania,95.0
nc - forsyth,forsyth,90.0
nc - columbus,columbus,90.0
nc - swain,swain,90.0
nc - craven,craven,90.0
nc - haywood,haywood,90.0
halifax,halifax,100.0
nc - granville,granville,90.0
lincoln,lincoln,100.0
nc - pitt,pitt,90.0
nc - orange,orange,90.0
chowan,chowan,100.0
perquimans,perquimans,100.0
sc - lee,lee,90.0
nc - cabarrus,cabarrus,90.0
nc - pamlico,pamlico,90.0
catawba,catawba,100.0
nc - mecklenburg,mecklenburg,95.0
iredell,iredell,100.0
nc - rockingham,rockingham,90.0
nc - surry,surry,90.0
nc - beaufort,beaufort,90.0
nc - robeson,robeson,90.0
nc - carteret,carteret,90.0
stokes,stokes,100.0
nc - randolph,randolph,90.0
guilford,guilford,100.0
nc - jones,jones,90.0
nc - new hanover,new hanover,95.0
nc - johnston,johnston,90.0
nc - stokes,stokes,90.0
nc - anson,anson,90.0
cumberland,cumberland,100.0
nc - alexander,alexander,90.0
pittsylvania,pitt,90.0
nc - richmond,richmond,90.0
nc - cherokee,cherokee,90.0
nc - wayne,wayne,90.0
jones,jones,100.0
nc - burke,burke,90.0
nc - yadkin,yadkin,90.0
moore,moore,100.0
nc - rutherford,rutherford,90.0
nc - hoke,hoke,90.0
nc - gaston,gaston,90.0
nc - union,union,90.0
brunswick,brunswick,100.0
nc - avery,avery,90.0
nc - rowan,rowan,90.0
nc - scotland,scotland,90.0
nc - montgomery,montgomery,90.0
nc - pender,pender,90.0
bladen,bladen,100.0
montgomery,montgomery,100.0
nc - wilkes,wilkes,90.0
nc - person,person,90.0
union,union,100.0
nc - catawba,catawba,90.0
nc - guilford,guilford,90.0
wilson,wilson,100.0
nc - edgecombe,edgecombe,90.0
nc - jackson,jackson,90.0
alexander,alexander,100.0
currituck,currituck,100.0
surry,surry,100.0
nc - madison,madison,90.0
nc - brunswick,brunswick,90.0
wilkes,wilkes,100.0
nc - durham,durham,90.0
nc - nash,nash,90.0
nc - wake,wake,90.0
nc - franklin,franklin,90.0
nc - mcdowell,mcdowell,90.0
randolph,randolph,100.0
nc - macon,macon,90.0
nc - caldwell,caldwell,90.0
northampton,northampton,100.0
pasquotank,pasquotank,100.0
nc - davidson,davidson,90.0
nc - polk,polk,90.0
nash,nash,100.0
nc - bladen,bladen,90.0
nc - halifax,halifax,90.0
sc - union,union,90.0
cabarrus,cabarrus,100.0
nc - davie,davie,90.0
nc - henderson,henderson,90.0
nc - chatham,chatham,90.0
alamance,alamance,100.0
rockingham,rockingham,100.0
lee,lee,100.0
anson,anson,100.0
duplin,duplin,100.0
forsyth,forsyth,100.0
nc - onslow,onslow,90.0
nc - mitchell,mitchell,90.0
nc - harnett,harnett,90.0
nc - lee,lee,90.0
mecklenburg,mecklenburg,100.0
nc - iredell,iredell,90.0
johnston,johnston,100.0
harnett,harnett,100.0
nc - stanly,stanly,90.0
scotland,scotland,100.0
davie,davie,100.0
nc - graham,graham,90.0
nc - lenoir,lenoir,90.0
yadkin,yadkin,100.0
person,person,100.0
gaston,gaston,100.0
franklin,franklin,100.0
rowan,rowan,100.0
nc - caswell,caswell,90.0
nc - clay,clay,90.0
nc - lincoln,lincoln,90.0
sc - cherokee,cherokee,90.0
richmond,richmond,100.0
nc - cumberland,cumberland,90.0
lenoir,lenoir,100.0
