raw,standard,score
boun|orangeburg|,orangeburg,90.0
lexington,lexington,100.0
boun|abbeville|,abbeville,90.0
boun|lexington|,lexington,90.0
sc|horry|,horry,90.0
spartanburg,spartanburg,100.0
york,york,100.0
boun|newberry|,newberry,90.0
newberry,newberry,100.0
anderson,anderson,100.0
boun|charleston|,charleston,90.0
boun|edgefield|,edgefield,90.0
boun|union|,union,90.0
aiken,aiken,100.0
boun|calhoun|,calhoun,90.0
boun|jasper|,jasper,90.0
hampton,hampton,100.0
sc|berkeley|,berkeley,90.0
boun|bamberg|,bamberg,90.0
lancaster,lancaster,100.0
boun|mccormick|,mccormick,90.0
fairfield,fairfield,100.0
union,union,100.0
boun|barnwell|,barnwell,90.0
boun|allendale|,allendale,90.0
allendale,allendale,100.0
boun|kershaw|,kershaw,90.0
boun|richland|,richland,90.0
calhoun,calhoun,100.0
colleton,colleton,100.0
greenwood,greenwood,100.0
boun|beaufort|,beaufort,90.0
orangeburg,orangeburg,100.0
edgefield,edgefield,100.0
dorchester,dorchester,100.0
berkeley,berkeley,100.0
chester,chester,100.0
charleston,charleston,100.0
boun|dorchester|,dorchester,90.0
boun|greenwood|,greenwood,90.0
horry,horry,100.0
boun|hampton|,hampton,90.0
boun|aiken|,aiken,90.0
kershaw,kershaw,100.0
boun|fairfield|,fairfield,90.0
dillon,dillon,100.0
bamberg,bamberg,100.0
boun|berkeley|,berkeley,90.0
boun|colleton|,colleton,90.0
cherokee,cherokee,100.0
barnwell,barnwell,100.0
boun|saluda|,saluda,90.0
abbeville,abbeville,100.0
sumter,sumter,100.0
georgetown,georgetown,100.0
richland,richland,100.0
saluda,saluda,100.0
beaufort,beaufort,100.0
mccormick,mccormick,100.0
jasper,jasper,100.0
