raw,standard,score
wharton,wharton,100.0
howard,howard,100.0
reagan,reagan,100.0
mcc,mcculloch,90.0
jackson,jackson,100.0
dallam,dallam,100.0
crane,crane,100.0
ker,parker,90.0
kim,kimble,90.0
jones,jones,100.0
brooks,brooks,100.0
men,menard,90.0
aransas,aransas,100.0
madison,madison,100.0
kimble,kimble,100.0
frio,frio,100.0
sabine,sabine,100.0
cochran,cochran,100.0
colorado,colorado,100.0
san jacinto,san jacinto,100.0
culberson,culberson,100.0
fayette,fayette,100.0
shackelford,shackelford,100.0
callahan,callahan,100.0
rains,rains,100.0
schleicher,schleicher,100.0
gaines,gaines,100.0
brewster,brewster,100.0
camp,camp,100.0
liberty,liberty,100.0
hardin,hardin,100.0
wilson,wilson,100.0
willacy,willacy,100.0
kenedy,kenedy,100.0
matagorda,matagorda,100.0
kinney,kinney,100.0
uvalde,uvalde,100.0
lavaca,lavaca,100.0
knox,knox,100.0
wilbarger,wilbarger,100.0
kerr,kerr,100.0
washington,washington,100.0
zavala,zavala,100.0
bla,blanco,90.0
morris,morris,100.0
kent,kent,100.0
cameron,cameron,100.0
san patricio,san patricio,100.0
castro,castro,100.0
dickens,dickens,100.0
hansford,hansford,100.0
rea,reagan,90.0
kleberg,kleberg,100.0
potter,potter,100.0
concho,concho,100.0
walker,walker,100.0
wood,wood,100.0
wheeler,wheeler,100.0
san saba,san saba,100.0
upshur,upshur,100.0
glasscock,glasscock,100.0
hartley,hartley,100.0
reeves,reeves,100.0
crockett,crockett,100.0
real,real,100.0
briscoe,briscoe,100.0
foard,foard,100.0
gregg,gregg,100.0
montgomery,montgomery,100.0
karnes,karnes,100.0
la salle,la salle,100.0
collingsworth,collingsworth,100.0
van zandt,van zandt,100.0
webb,webb,100.0
mcmullen,mcmullen,100.0
bowie,bowie,100.0
irion,irion,100.0
runnels,runnels,100.0
gonzales,gonzales,100.0
motley,motley,100.0
guadalupe,guadalupe,100.0
panola,panola,100.0
oldham,oldham,100.0
lla,dallas,90.0
tom green,tom green,100.0
calhoun,calhoun,100.0
zapata,zapata,100.0
upton,upton,100.0
hudspeth,hudspeth,100.0
brown,brown,100.0
refugio,refugio,100.0
jasper,jasper,100.0
live oak,live oak,100.0
jeff davis,jeff davis,100.0
angelina,angelina,100.0
bexar,bexar,100.0
bandera,bandera,100.0
medina,medina,100.0
mas,mason,90.0
jim hogg,jim hogg,100.0
parmer,parmer,100.0
franklin,franklin,100.0
starr,starr,100.0
maverick,maverick,100.0
hopkins,hopkins,100.0
dewitt,dewitt,100.0
yoakum,yoakum,100.0
red river,red river,100.0
throckmorton,throckmorton,100.0
sterling,sterling,100.0
kendall,kendall,100.0
hardeman,hardeman,100.0
randall,randall,100.0
polk,polk,100.0
atascosa,atascosa,100.0
victoria,victoria,100.0
el paso,el paso,100.0
goliad,goliad,100.0
childress,childress,100.0
swisher,swisher,100.0
cass,cass,100.0
shelby,shelby,100.0
mitchell,mitchell,100.0
hale,hale,100.0
dimmit,dimmit,100.0
sutton,sutton,100.0
coleman,coleman,100.0
haskell,haskell,100.0
deaf smith,deaf smith,100.0
harrison,harrison,100.0
eastland,eastland,100.0
stonewall,stonewall,100.0
presidio,presidio,100.0
menard,menard,100.0
moore,moore,100.0
donley,donley,100.0
terrell,terrell,100.0
nueces,nueces,100.0
la,dallas,90.0
armstrong,armstrong,100.0
nolan,nolan,100.0
ken,kenedy,90.0
hidalgo,hidalgo,100.0
cottle,cottle,100.0
jim wells,jim wells,100.0
coke,coke,100.0
titus,titus,100.0
val verde,val verde,100.0
edwards,edwards,100.0
marion,marion,100.0
taylor,taylor,100.0
hall,hall,100.0
caldwell,caldwell,100.0
fisher,fisher,100.0
pecos,pecos,100.0
mcculloch,mcculloch,100.0
rusk,rusk,100.0
mason,mason,100.0
gil,gillespie,90.0
duval,duval,100.0
ar,wharton,90.0
trinity,trinity,100.0
stephens,stephens,100.0
sherman,sherman,100.0
tyler,tyler,100.0
bee,bee,100.0
smith,smith,100.0
hutchinson,hutchinson,100.0
