raw,standard,score
alleghany,alleghany,100.0
brunswick,brunswick,100.0
botetourt,botetourt,100.0
mecklenburg,mecklenburg,100.0
highland,highland,100.0
warren,warren,100.0
northumberland,northumberland,100.0
franklin,franklin,100.0
accomack,accomack,100.0
roanoke,roanoke,100.0
bath,bath,100.0
charlotte,charlotte,100.0
giles,giles,100.0
greensville,greensville,100.0
isle of wight,isle of wight,100.0
richmond,richmond,100.0
sussex,sussex,100.0
southampton,southampton,100.0
craig,craig,100.0
lunenburg,lunenburg,100.0
lancaster,lancaster,100.0
king george,king george,100.0
surry,surry,100.0
augusta,augusta,100.0
stafford,stafford,100.0
westmoreland,westmoreland,100.0
northampton,northampton,100.0
pittsylvania,pittsylvania,100.0
montgomery,montgomery,100.0
halifax,halifax,100.0
rockbridge,rockbridge,100.0
